,Processed Dataset,Accuracy
0,Serum(Raw),0.9090909090909092
1,Serum(Raw),0.867739898989899
2,Serum(Raw),0.8477240352240353
3,Serum(Raw),0.8267652486402487
4,Serum(Raw),0.8189879564879565
5,Serum(Raw),0.8202214452214452
6,Serum(Raw),0.8300310800310802
7,Serum(Raw),0.8356521950271951
8,Serum(Raw),0.8387615470948805
9,Serum(Raw),0.8305798368298369
10,pca2_serum,0.696969696969697
11,pca2_serum,0.6436237373737375
12,pca2_serum,0.6598517223517224
13,pca2_serum,0.670236013986014
14,pca2_serum,0.6998251748251748
15,pca2_serum,0.6688357938357937
16,pca2_serum,0.6834068709068708
17,pca2_serum,0.6865226787101786
18,pca2_serum,0.6817912026245359
19,pca2_serum,0.6886120823620823
20,pca3_serum,0.7348484848484849
21,pca3_serum,0.6868686868686869
22,pca3_serum,0.7271432271432271
23,pca3_serum,0.7068157536907536
24,pca3_serum,0.7472707847707847
25,pca3_serum,0.739623802123802
26,pca3_serum,0.7609473859473859
27,pca3_serum,0.7699956293706293
28,pca3_serum,0.7753496503496503
29,pca3_serum,0.761703574203574
30,pca4_serum,0.8181818181818181
31,pca4_serum,0.7910353535353535
32,pca4_serum,0.8222286972286973
33,pca4_serum,0.8232687451437452
34,pca4_serum,0.8070998445998446
35,pca4_serum,0.7906387593887594
36,pca4_serum,0.8126110001110002
37,pca4_serum,0.8256179584304585
38,pca4_serum,0.829842225675559
39,pca4_serum,0.8294968919968919
40,pca5_serum,0.8181818181818181
41,pca5_serum,0.7910353535353535
42,pca5_serum,0.8094081844081843
43,pca5_serum,0.8119172494172493
44,pca5_serum,0.7980186480186479
45,pca5_serum,0.7923303548303547
46,pca5_serum,0.814060939060939
47,pca5_serum,0.826886655011655
48,pca5_serum,0.825919450919451
49,pca5_serum,0.8252719502719502
50,pca10_serum,0.8636363636363636
51,pca10_serum,0.8137626262626263
52,pca10_serum,0.8245596995596997
53,pca10_serum,0.8371697746697747
54,pca10_serum,0.8182206682206683
55,pca10_serum,0.8091653716653718
56,pca10_serum,0.8284909534909536
57,pca10_serum,0.8395129176379178
58,pca10_serum,0.8329340412673747
59,pca10_serum,0.8253350815850817
60,pca15_serum,0.8636363636363636
61,pca15_serum,0.7859848484848484
62,pca15_serum,0.7932206682206683
63,pca15_serum,0.8136655011655012
64,pca15_serum,0.8160839160839162
65,pca15_serum,0.8073847448847449
66,pca15_serum,0.8100996225996226
67,pca15_serum,0.8182121697746698
68,pca15_serum,0.8182087973754641
69,pca15_serum,0.8120823620823622
70,pca20_serum,0.8636363636363636
71,pca20_serum,0.872790404040404
72,pca20_serum,0.8639115514115514
73,pca20_serum,0.8684197746697746
74,pca20_serum,0.8523115773115773
75,pca20_serum,0.8479911292411293
76,pca20_serum,0.8538336663336664
77,pca20_serum,0.8460627913752915
78,pca20_serum,0.8480154105154106
79,pca20_serum,0.8444638694638694
80,tsne2_serum,0.7272727272727273
81,tsne2_serum,0.6622474747474747
82,tsne2_serum,0.6594470344470343
83,tsne2_serum,0.6838213869463869
84,tsne2_serum,0.7031177156177156
85,tsne2_serum,0.6935703185703185
86,tsne2_serum,0.7135364635364635
87,tsne2_serum,0.7285110722610721
88,tsne2_serum,0.7334239834239833
89,tsne2_serum,0.7427204739704738
90,tsne3_serum,0.6893939393939394
91,tsne3_serum,0.5946969696969697
92,tsne3_serum,0.624028749028749
93,tsne3_serum,0.5999660062160063
94,tsne3_serum,0.6102758352758353
95,tsne3_serum,0.6243039368039368
96,tsne3_serum,0.6353160728160727
97,tsne3_serum,0.6319432303807303
98,tsne3_serum,0.6484276525943192
99,tsne3_serum,0.6474737762237762
